"","Country","Count"
"4","Andorra",1
"10","Austria",10
"17","Belgium",99
"24","Brazil",8
"37","China",51
"43","Croatia",10
"46","Czechia",2
"47","Denmark",18
"60","Finland",7
"61","France",510
"65","Germany",271
"67","Greece",5
"76","Hungary",7
"77","Iceland",1
"82","Ireland",14
"84","Italy",324
"86","Japan",177
"90","Korea, South",9
"102","Luxembourg",8
"108","Malta",5
"120","Netherlands",91
"126","Norway",9
"134","Poland",1
"135","Portugal",26
"143","San Marino",1
"150","Singapore",40
"152","Slovenia",5
"156","Spain",181
"160","Sweden",14
"161","Switzerland",90
"166","Thailand",23
"175","United Kingdom",150
"177","United States of America",148
